GeneSymbol	A21_05_C3_P5_249126	A21_05_C3_P5_533481	A21_05_C3_P5_577716	A21_05_C3_P5_86722	A21_05_C3_P5_251707	A21_05_C3_P5_755486	A21_05_C3_P5_637637	A21_05_C3_P5_572742
CDC42EP4	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.611
CDC45	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CDC6	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CDCA2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CDCA3	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CDCA4	0.000	0.000	0.687	0.000	0.000	0.000	0.000	0.000
CDCA5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CDCA7	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CDCA7L	0.000	0.000	0.000	0.000	0.000	0.867	0.000	0.000
CDCA8	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CDCP1	0.000	0.384	0.000	0.492	0.498	0.000	0.568	0.000
CDH11	1.191	0.877	1.376	0.821	1.918	1.324	2.157	2.149
CDH13	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CDH18	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CDH2	0.377	0.384	0.000	0.492	0.498	0.867	0.568	0.000
CDH23	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CDH4	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CDK1	0.000	0.000	0.687	0.000	0.498	0.000	0.000	0.000
CDK2	0.000	0.000	0.000	0.492	0.000	0.524	0.000	0.000
CDK5RAP2	0.650	0.000	0.401	0.000	0.000	0.000	0.000	0.000
CDK6	0.000	0.000	0.000	0.000	0.000	0.000	0.928	0.000
CDKN1A	2.224	2.138	1.861	1.265	1.583	1.492	1.721	0.987
CDKN1C	0.377	0.384	0.401	0.000	0.000	0.867	1.721	0.000
CDKN2A	0.000	0.000	0.000	0.821	0.498	0.524	0.568	0.611
CDKN2B	0.000	0.000	0.000	0.000	0.000	0.867	0.000	0.000
CDKN2C	0.000	0.384	0.000	0.000	0.498	0.000	0.568	1.260
CDKN3	0.000	0.000	0.000	0.000	0.498	0.000	0.000	0.000
CDT1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CEBPB	0.377	1.054	1.090	1.068	0.829	1.121	0.928	0.000
CEBPD	0.650	0.660	0.401	1.265	0.000	0.524	0.000	0.987
CELF2	1.321	0.877	0.401	0.000	0.498	0.000	0.000	0.611
CEMIP	0.377	0.000	0.000	1.431	0.000	0.000	0.000	0.000
CEMIP2	0.650	0.384	1.090	0.000	0.000	1.324	0.568	0.611
CENPA	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CENPE	0.000	0.384	0.687	0.000	0.000	0.000	0.568	0.000
CENPF	0.377	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CENPH	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.611
CENPI	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CENPJ	0.000	0.384	0.000	0.000	0.000	0.000	0.000	0.000
CENPK	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CENPM	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CENPO	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CENPQ	0.377	0.000	0.000	0.000	0.498	0.000	0.000	0.000
CENPU	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CENPV	0.000	0.000	0.401	0.000	0.000	0.000	0.000	0.000
CENPW	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CEP128	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
