GeneSymbol	A21_05_C3_P5_438326	A21_05_C3_P5_80000	A21_05_C3_P5_675243	A21_05_C3_P5_39323	A21_05_C3_P5_540516	A21_05_C3_P5_675883	A21_05_C3_P5_795538	A21_05_C3_P5_192610	A21_05_C3_P5_201880	A21_05_C3_P5_426236	A21_05_C3_P5_119081	A21_05_C3_P5_243946	A21_05_C3_P5_677988	A21_05_C3_P5_722696	A21_05_C3_P5_385496	A21_05_C3_P5_555709	A21_05_C3_P5_160648	A21_05_C3_P5_114001	A21_05_C3_P5_631908	A21_05_C3_P5_341331	A21_05_C3_P5_810696	A21_05_C3_P5_451659	A21_05_C3_P5_167316	A21_05_C3_P5_730545	A21_05_C3_P5_4191	A21_05_C3_P5_306948	A21_05_C3_P5_799333	A21_05_C3_P5_51050
DHX9	0.000	0.447	0.474	0.838	0.549	0.553	0.329	0.345	0.967	0.357	0.356	1.023	0.000	0.385	0.888	0.694	0.000	0.000	0.000	0.438	0.000	0.436	0.000	0.000	0.450	0.000	0.000	0.500
DIAPH3	0.000	0.000	0.000	0.504	0.000	0.000	0.000	0.345	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.406	0.754	0.000	0.000	0.000	0.000	0.000	0.766	0.000	0.450	0.461	0.000	0.000
DIO2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.828	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.455	0.000	0.000	1.207	0.000	0.000
DIRAS3	0.522	0.000	0.265	0.000	0.000	0.000	0.775	0.000	0.000	0.000	0.000	0.368	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
DIRC1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.385	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
DKC1	0.377	0.000	0.265	0.000	0.312	0.000	0.577	0.345	1.237	0.000	0.000	0.848	0.000	0.385	0.888	0.694	0.000	0.420	0.427	0.741	0.000	0.436	0.000	1.008	0.000	0.776	0.470	0.832
DKK1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.342	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.739	0.000	0.000	0.000	0.000	0.000	0.000
DKK2	1.118	0.754	1.317	0.685	2.452	0.746	1.317	1.783	0.000	1.582	0.000	0.368	1.045	0.000	0.888	0.694	1.973	1.283	0.000	1.321	0.000	0.000	0.455	1.621	0.995	0.000	0.000	1.446
DLGAP5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
DNAJB4	1.190	0.612	1.317	0.970	1.162	1.622	0.577	1.119	1.237	1.274	1.384	0.368	0.653	1.057	0.669	0.406	0.000	0.714	0.000	1.162	0.444	1.574	0.455	0.770	1.346	0.000	0.789	0.500
DNAJB9	0.206	0.248	0.795	0.283	0.549	0.907	0.329	0.345	0.000	0.000	0.356	0.000	0.868	0.662	0.390	0.406	0.754	1.283	0.725	0.438	0.000	0.436	0.000	0.000	0.000	0.000	0.000	0.500
DNAJC9	0.206	0.447	0.000	0.000	0.549	0.000	0.329	0.000	0.596	0.620	0.618	0.368	0.653	0.000	0.669	0.406	0.446	0.000	0.427	0.000	0.000	0.000	0.000	0.457	0.450	0.461	0.000	0.500
DNER	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
DNM3OS	1.040	0.989	1.139	1.596	1.040	0.553	0.577	0.345	0.799	1.000	0.618	1.415	0.000	1.208	0.390	0.000	0.989	1.418	0.725	0.438	1.472	1.454	1.911	1.008	1.605	1.207	1.527	0.500
DNMT1	0.206	0.447	0.648	0.000	0.741	0.314	0.329	0.000	0.799	0.357	0.618	0.848	0.653	0.000	0.390	0.406	0.000	0.000	0.427	0.000	0.000	0.000	0.000	0.457	0.450	0.000	0.789	0.500
DPP4	0.956	0.989	0.000	0.283	1.162	1.277	0.577	1.246	0.342	0.000	1.384	0.637	0.868	1.057	0.669	0.694	0.754	1.127	1.141	0.974	0.751	0.971	0.766	0.000	0.000	1.207	1.030	0.832
DRAIC	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
DRAXIN	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
DSEL	0.206	0.447	0.474	0.504	0.741	0.000	0.329	0.975	0.342	0.000	0.000	0.637	0.000	0.000	0.390	0.000	0.000	0.714	0.427	0.000	0.444	0.739	0.455	0.457	0.450	0.776	1.030	0.000
