GeneSymbol	A21_05_C2_P5_545951	A21_05_C2_P5_384994	A21_05_C2_P5_221712	A21_05_C2_P5_601556	A21_05_C2_P5_49590	A21_05_C2_P5_118756	A21_05_C2_P5_203250	A21_05_C2_P5_654053	A21_05_C2_P5_883316	A21_05_C2_P5_70210	A21_05_C2_P5_549054	A21_05_C2_P5_426546	A21_05_C2_P5_594341	A21_05_C2_P5_463199	A21_05_C2_P5_848473	A21_05_C2_P5_709356	A21_05_C2_P5_871294	A21_05_C2_P5_568837	A21_05_C2_P5_326028	A21_05_C2_P5_74255	A21_05_C2_P5_458390	A21_05_C2_P5_638128	A21_05_C2_P5_12534	A21_05_C2_P5_602273	A21_05_C2_P5_474110	A21_05_C2_P5_365897	A21_05_C2_P5_876552	A21_05_C2_P5_709733	A21_05_C2_P5_436945	A21_05_C2_P5_1191	A21_05_C2_P5_473595	A21_05_C2_P5_618353	A21_05_C2_P5_631078	A21_05_C2_P5_762777	A21_05_C2_P5_711218	A21_05_C2_P5_94948	A21_05_C2_P5_441382	A21_05_C2_P5_145873	A21_05_C2_P5_319708	A21_05_C2_P5_560698	A21_05_C2_P5_716471	A21_05_C2_P5_884718
FILIP1L	0.371	0.459	0.000	0.000	0.000	0.525	0.000	0.000	0.546	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.309	0.000	0.663	0.000	0.000	0.000	0.000	0.710	1.441	0.727	0.000	0.827	0.000	1.586	0.000	0.000	0.000	2.005	0.000	0.000
FJX1	0.854	0.000	0.451	0.501	0.527	0.000	0.000	0.539	0.000	0.000	1.355	0.558	0.560	0.926	0.572	0.000	0.569	0.000	0.000	0.000	0.000	0.000	0.642	0.000	0.000	0.664	0.674	0.675	0.000	0.000	0.730	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.096
FKBP14	0.371	0.000	0.761	0.000	0.527	0.868	0.532	0.000	0.546	0.542	0.542	0.000	0.000	0.926	0.000	0.568	0.930	0.583	0.963	0.000	1.267	0.000	0.642	0.659	0.000	0.000	0.000	0.000	1.088	0.710	0.730	0.727	1.161	0.000	1.289	0.000	0.851	0.000	0.000	0.000	0.000	0.000
FKBP4	0.371	0.000	0.000	1.082	0.000	0.868	0.000	0.887	0.000	0.000	0.542	0.000	0.000	0.000	0.000	0.000	0.569	0.000	0.000	0.000	1.267	0.000	0.000	0.000	0.663	0.664	1.073	0.000	0.000	0.710	0.730	0.000	0.000	1.274	0.000	0.000	0.000	0.000	0.872	0.958	0.000	0.000
FMN2	0.000	0.000	0.451	0.501	0.000	0.000	0.000	0.000	0.546	0.542	0.000	0.000	0.000	1.189	0.000	0.000	0.569	0.000	0.593	0.000	0.000	0.000	0.642	0.659	0.000	0.664	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.831	0.000	0.000	1.331	1.438	0.000	1.096
FMO1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
FMO2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
FMO3	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
FMOD	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.615	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
FN1	3.876	3.935	3.095	4.130	4.162	4.396	4.237	4.134	2.535	4.374	3.417	3.857	4.582	3.519	3.718	3.610	3.298	3.410	3.665	3.475	3.649	3.887	4.072	3.597	3.910	3.931	3.397	3.009	3.936	3.076	3.708	3.826	3.616	3.421	4.312	3.890	3.051	3.477	3.688	3.343	3.615	3.493
FNDC1	1.423	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.593	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.674	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
FNDC5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.851	0.000	0.000	0.000	0.000	0.000
FOS	1.178	2.003	0.451	1.282	0.000	1.122	1.507	0.539	0.897	0.891	0.542	0.000	1.386	0.926	0.934	0.928	0.569	0.000	0.593	0.990	1.939	1.811	1.030	1.735	1.561	1.060	0.674	0.675	1.779	1.120	0.000	1.143	0.741	1.274	0.000	1.822	0.851	1.316	1.331	0.958	0.972	1.943
FOSB	0.000	0.000	0.451	1.082	0.527	0.000	0.878	0.000	0.000	0.000	0.000	0.000	0.560	0.000	0.000	0.000	0.000	0.000	0.000	0.613	0.615	0.617	0.000	0.000	0.663	0.000	0.000	0.000	0.685	0.000	0.000	0.000	0.741	0.827	0.000	0.000	0.851	0.000	0.000	0.000	1.456	0.000
FOSL1	0.854	0.773	1.188	1.282	0.527	0.525	0.000	1.520	1.362	1.525	1.670	0.558	0.000	0.566	0.000	0.000	0.930	0.583	1.233	0.613	1.482	0.000	0.000	0.000	0.663	0.000	1.073	0.000	0.000	1.411	0.000	1.143	1.161	0.000	0.839	0.831	1.304	1.316	0.872	1.438	1.780	1.607
FOSL2	0.854	0.773	0.451	0.000	0.871	0.868	0.532	0.539	0.000	1.670	0.891	0.558	0.000	1.189	0.000	0.000	0.930	0.583	0.593	0.000	0.615	0.000	0.000	0.659	1.341	1.563	0.674	0.675	0.000	0.000	0.000	0.727	0.741	0.000	0.000	1.278	0.000	0.000	0.000	0.000	0.000	1.943
FOXC2	0.000	0.459	0.000	0.501	0.000	1.122	0.000	1.145	1.362	0.000	0.000	0.558	0.000	0.566	0.000	0.928	0.000	0.583	0.000	0.000	0.615	0.000	0.000	0.000	0.000	0.664	0.000	0.675	0.685	0.000	0.000	1.143	0.000	0.000	0.000	0.000	1.304	0.860	0.000	0.000	0.000	0.000
FOXD1	0.371	0.773	1.188	0.000	0.000	0.000	0.000	1.145	0.546	1.149	0.000	1.176	0.560	0.000	0.000	0.000	0.000	0.583	0.593	0.990	0.615	0.617	0.642	0.659	0.663	1.060	0.674	0.675	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.831	0.000	0.000	0.000	0.000	0.000	1.096
FOXF1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
FOXF2	0.000	0.000	0.000	0.000	0.527	0.000	0.000	0.000	0.000	0.000	0.000	0.558	0.000	0.000	0.572	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.642	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.730	0.000	0.000	0.000	0.000	0.831	0.000	0.000	0.000	0.000	0.000	0.000
FOXM1	1.029	0.459	0.997	1.082	0.000	0.525	0.532	0.887	0.546	0.891	0.542	0.914	0.000	0.926	0.000	0.928	0.569	0.000	1.445	0.990	1.267	0.617	1.030	1.053	1.341	1.060	0.674	0.675	1.088	0.710	0.000	0.727	0.741	1.581	0.000	0.000	0.851	0.860	0.872	0.000	0.000	0.000
FOXO1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.542	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
FOXP1	1.029	1.011	1.188	0.833	0.871	1.325	1.778	1.145	0.546	1.149	0.000	1.943	0.916	0.566	1.199	0.928	1.576	1.216	0.963	0.000	1.267	1.661	1.030	1.053	0.000	0.664	1.358	0.000	1.088	1.120	1.852	0.727	1.161	0.827	0.000	1.278	0.851	0.000	0.000	0.000	0.000	1.096
FOXQ1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.642	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
FOXS1	0.000	0.000	0.000	0.000	0.527	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
FRAS1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
FREM1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
FRMD6	1.308	1.365	1.188	0.501	1.329	0.525	0.532	0.887	0.897	1.354	0.542	0.914	0.560	1.189	0.000	2.524	1.194	1.749	0.000	1.477	0.000	0.995	1.527	0.000	0.663	1.060	0.000	1.359	0.000	0.000	1.441	0.000	1.161	1.581	0.839	0.000	0.000	0.000	1.331	1.761	0.000	1.096
FRMPD4	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.663	0.000	0.000	0.000	0.685	0.000	0.000	0.000	0.000	0.000	0.000	0.831	0.000	0.000	0.000	0.000	0.000	0.000
FRRS1L	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
FSIP2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
FST	0.000	0.000	0.000	0.501	0.527	0.868	0.000	0.000	0.000	1.149	1.525	0.000	0.000	0.000	0.572	0.568	0.000	0.583	0.593	0.613	0.615	0.000	1.030	0.659	0.000	1.563	0.000	0.000	1.088	0.710	0.000	1.143	0.741	0.827	0.000	0.831	0.000	0.000	0.000	1.438	1.456	0.000
FSTL1	2.845	3.064	2.927	3.021	3.115	3.110	2.922	2.727	2.788	2.264	2.265	2.815	2.904	2.739	2.648	2.393	2.745	2.094	2.935	3.135	3.103	3.067	3.232	2.880	2.715	3.122	2.854	2.909	2.930	2.739	2.776	2.003	2.570	2.006	2.649	2.806	2.669	2.586	2.236	2.365	1.780	3.293
FSTL5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
FTH1	3.778	3.261	3.042	2.247	3.360	2.430	1.891	2.097	2.644	2.264	2.733	2.769	2.506	3.203	2.592	3.429	2.883	2.995	2.746	3.620	2.842	3.179	1.706	2.576	2.429	2.653	2.854	2.364	3.204	2.428	2.464	2.458	2.725	2.800	2.024	2.806	3.225	2.586	2.236	1.438	3.365	3.041
FTH1P10	0.642	0.459	0.000	0.000	0.527	0.000	0.000	0.887	0.897	0.000	0.000	0.000	0.560	0.926	0.572	0.000	0.569	0.000	0.593	0.990	0.994	0.617	0.000	0.659	1.058	0.000	0.000	0.000	0.685	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.304	0.000	0.000	0.000	1.456	0.000
FTL	2.468	2.539	1.983	1.825	2.372	1.764	1.652	2.330	1.805	0.891	1.670	1.830	0.916	2.520	1.971	1.721	2.793	2.724	1.898	2.786	2.792	2.160	1.527	2.644	1.741	1.342	2.450	1.074	2.471	2.803	2.632	2.003	1.684	1.816	2.184	2.430	1.851	2.356	2.605	2.005	2.385	1.607
FUBP1	0.642	0.459	0.997	1.590	0.527	1.325	1.338	1.145	1.362	0.000	1.355	1.176	0.560	0.926	0.000	0.000	0.930	0.949	1.445	0.000	1.659	1.484	0.642	0.000	0.000	1.563	0.674	1.074	1.375	1.411	0.730	1.847	1.161	0.000	0.839	1.278	0.000	1.316	1.331	1.438	0.000	0.000
FUS	1.924	1.504	1.348	1.825	1.126	0.868	1.652	1.665	1.678	1.797	1.797	0.558	1.179	2.239	0.572	2.065	1.723	1.427	1.619	1.804	2.158	2.057	1.030	1.887	1.741	1.743	1.358	1.914	2.066	1.120	1.147	1.436	1.457	0.827	1.289	2.430	2.203	1.316	1.644	1.761	1.456	1.607
FYB1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
FZD1	0.371	0.000	0.000	0.000	0.000	0.525	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.572	0.568	0.000	0.000	0.000	0.000	0.000	0.000	0.642	0.000	0.000	0.000	0.674	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
FZD3	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
FZD7	0.371	1.365	0.761	0.833	0.000	0.868	0.000	1.145	0.000	0.542	1.525	1.943	0.916	0.926	1.199	0.568	0.930	1.216	0.593	0.613	1.482	0.617	0.000	0.000	0.000	0.664	0.674	0.000	1.597	0.000	0.000	0.000	0.000	0.000	0.839	1.278	0.851	0.860	0.872	0.000	0.000	0.000
FZD8	0.000	0.000	0.000	0.501	0.527	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.572	0.000	0.000	0.000	0.593	0.000	0.000	0.000	0.642	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.730	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
G0S2	0.371	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.566	0.934	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.058	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.851	0.000	0.000	0.000	0.000	0.000
G2E3	0.854	0.000	0.997	1.282	0.000	0.000	0.000	0.000	0.546	0.000	0.891	1.555	0.000	0.566	0.000	0.568	0.000	0.000	0.593	0.613	0.000	0.000	0.000	0.659	0.663	0.000	0.000	0.000	1.375	0.000	0.730	0.000	0.000	0.827	0.839	0.000	0.000	0.000	0.872	1.438	0.000	0.000
G3BP1	1.988	0.773	1.486	2.176	1.329	1.638	2.316	2.005	1.362	2.011	1.355	1.702	1.705	1.189	1.408	1.401	1.403	0.583	0.593	0.613	1.809	1.942	2.304	0.000	1.058	0.664	1.760	0.675	1.375	0.000	2.008	0.727	0.000	2.166	0.000	1.586	0.000	0.860	0.872	2.005	1.456	1.096
GABPB1-AS1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.710	0.000	0.000	0.741	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
GABRB2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
GABRB3	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
GADD45A	0.854	0.000	0.000	0.501	1.126	1.494	0.878	0.539	0.897	0.000	0.542	0.914	0.916	0.000	0.572	0.000	0.000	0.000	0.963	0.613	0.615	0.617	0.642	0.000	0.000	0.664	1.760	0.675	0.685	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.304	0.000	0.872	0.000	1.456	0.000
GADD45B	0.371	0.459	0.451	0.833	1.126	0.868	1.134	0.539	1.362	0.542	0.891	1.176	0.560	0.000	0.934	0.568	0.569	0.000	0.963	0.990	0.994	1.484	0.000	0.000	0.000	1.060	0.674	1.074	0.000	0.000	0.000	1.143	0.741	0.827	0.839	1.586	0.000	0.860	0.000	1.438	0.972	1.096
GAL	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
GALNT1	1.526	1.734	1.813	2.490	0.000	1.764	1.991	2.005	1.533	0.891	1.355	1.830	1.179	1.718	2.166	1.401	2.463	1.427	1.619	0.000	0.615	1.661	1.857	1.335	1.058	1.896	0.000	1.761	1.779	1.819	0.730	1.436	1.161	1.581	1.598	1.278	0.000	1.316	0.872	1.438	0.000	0.000
GALNT15	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
GALNT5	0.000	0.000	0.000	1.282	0.000	0.525	0.532	0.539	0.897	0.000	0.891	0.000	0.560	0.000	0.000	0.000	0.000	0.583	0.000	0.000	0.000	0.000	0.000	1.053	0.000	0.664	0.000	0.000	0.685	0.710	0.000	0.000	0.741	0.000	0.000	0.831	0.851	0.000	0.000	0.000	0.000	0.000
GALNT6	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
GAP43	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
GAS1	0.000	0.773	0.000	0.000	0.000	0.525	0.532	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.568	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.710	0.000	0.000	0.741	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
GAS2L3	1.308	0.459	1.188	0.833	0.527	0.000	0.000	0.000	1.362	0.542	0.542	0.914	0.000	0.926	0.000	0.568	0.000	0.000	0.593	0.990	0.000	0.000	0.000	1.053	0.000	0.000	0.000	0.000	0.685	0.000	0.000	1.436	1.457	0.000	0.000	0.000	0.000	0.000	1.331	0.958	0.972	0.000
GAS6	0.000	0.000	0.761	0.833	0.000	0.000	0.000	0.887	0.000	0.891	0.000	0.914	0.560	0.000	0.000	0.928	0.930	0.000	0.963	1.263	0.000	0.617	1.309	0.659	1.058	1.342	1.073	1.580	0.000	0.710	1.147	1.436	0.000	0.827	0.000	0.000	0.000	0.000	0.872	0.000	0.972	1.096
GAS7	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.539	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.642	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.972	0.000
GATA6	0.000	1.011	0.451	0.000	0.527	0.868	0.000	0.539	0.000	0.000	0.000	0.914	0.560	0.000	0.934	0.000	0.000	0.583	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.664	0.000	0.000	0.685	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.972	0.000
GATM	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
GBP1	0.642	0.000	0.000	0.501	0.000	0.868	0.000	0.887	0.000	0.542	0.000	0.000	0.000	0.000	0.934	0.000	0.930	0.000	0.000	0.000	0.000	1.269	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.143	0.741	0.827	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
GCLM	0.000	1.504	0.000	1.082	0.871	0.525	0.532	0.000	0.546	0.542	0.000	0.558	0.000	0.000	0.000	0.000	1.403	0.583	0.593	0.000	0.615	0.000	1.309	0.000	0.000	0.000	0.674	0.000	0.685	0.000	0.730	0.727	0.000	0.000	0.000	0.831	0.000	0.000	0.872	0.000	0.000	0.000
GDF15	0.642	0.000	0.000	0.000	0.000	0.000	0.532	0.000	0.000	0.000	0.000	0.000	1.558	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.617	0.000	0.000	0.000	1.563	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
GDF6	0.000	0.000	0.000	0.000	0.527	0.000	0.000	0.539	0.000	0.000	0.542	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.615	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.710	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.972	0.000
GDNF	0.000	0.000	0.000	0.000	0.000	0.868	0.000	0.000	0.000	0.542	0.000	0.000	0.000	0.000	0.000	0.568	0.000	0.583	0.000	1.263	0.000	0.000	0.000	0.000	0.000	0.664	0.000	0.000	0.000	0.000	0.730	0.000	0.000	0.000	0.000	0.000	0.851	0.000	0.000	0.000	0.000	0.000
GEN1	0.000	0.000	0.000	0.501	0.527	0.000	0.532	0.000	0.000	0.000	0.000	0.558	0.000	0.566	0.572	0.000	0.930	0.000	0.593	0.000	0.000	0.617	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.839	0.000	0.000	0.000	0.000	0.000	0.000	1.096
GFPT2	0.371	1.204	0.451	0.501	0.527	0.525	0.878	0.539	0.000	0.000	1.150	0.914	0.000	1.189	0.572	0.568	0.569	1.427	0.593	0.000	0.000	0.617	0.000	0.000	0.000	0.000	0.000	0.675	1.375	1.120	0.000	1.436	0.000	0.000	0.000	0.000	0.851	0.000	0.000	0.000	0.000	0.000
GFRA1	0.642	0.459	0.000	0.833	0.527	0.868	0.878	0.539	0.000	1.149	0.000	0.000	1.179	0.000	0.572	0.000	0.569	0.583	0.593	0.613	0.000	0.000	0.642	0.000	1.058	0.000	0.674	1.074	0.685	0.000	0.000	0.727	1.161	0.000	1.289	0.831	0.851	0.000	0.872	0.000	0.000	0.000
GGH	0.000	0.773	1.188	0.833	0.000	0.525	0.000	0.887	0.546	1.149	0.891	0.000	0.560	1.189	1.581	1.193	0.569	0.949	0.593	0.000	0.615	0.617	0.000	1.053	1.058	0.664	0.000	0.675	0.000	0.000	0.730	0.727	1.161	0.827	0.839	0.000	0.851	0.860	0.000	0.000	0.000	0.000
GINS1	0.000	0.773	0.000	0.000	0.527	0.000	0.000	0.539	0.000	0.000	0.000	0.000	0.000	0.000	0.572	0.928	0.930	0.949	0.000	0.000	0.615	1.269	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
GINS2	0.000	0.459	0.000	0.000	0.527	0.868	0.000	0.000	0.000	0.000	0.000	0.000	0.560	0.000	0.934	0.568	0.000	0.583	0.000	0.000	0.000	0.000	0.000	0.000	0.663	0.000	0.000	0.675	0.000	0.000	0.000	0.000	0.741	0.827	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
GINS4	0.642	0.000	0.761	0.501	0.000	0.525	0.532	0.539	0.546	0.891	0.542	1.384	0.560	0.000	0.000	0.000	0.000	0.583	0.593	0.000	0.000	0.995	0.000	0.000	0.000	0.000	1.358	0.000	0.000	1.411	0.000	0.000	0.741	0.000	0.000	0.000	0.000	0.000	0.000	0.958	0.000	0.000
GJA1	0.642	0.459	0.761	0.501	0.000	0.000	0.532	0.539	0.000	0.000	0.542	0.000	1.179	0.566	0.000	0.928	0.930	0.583	0.000	0.000	0.000	0.000	0.000	0.000	0.663	0.664	0.000	0.000	0.685	1.120	0.000	0.727	0.741	0.827	0.000	0.831	0.000	0.000	0.000	0.000	0.000	0.000
